Time,TIME_STAMP_s,TIME_STAMP_ms,OR_TIME_STAMP_s,OR_TIME_STAMP_ms,COUNTER_MEMS,INTERPOLATED_MEM,Q0,Q1,Q2,Q3,ACCX,ACCY,ACCZ,MAGX,MAGY
2312.5000,2.0000,312.7000,2.0000,490.0000,4.0000,0.0000,0.7450,0.1837,0.2773,0.5782,0.9377,0.2695,0.0587,-50.6667,-13.5000
2375.0000,2.0000,375.2000,2.0000,552.0000,5.0000,0.0000,0.7450,0.1837,0.2773,0.5782,0.9298,0.2813,0.0508,-50.8333,-13.3333
2437.5000,2.0000,437.7000,2.0000,614.0000,6.0000,0.0000,0.7420,0.1837,0.2773,0.5820,0.9455,0.2695,0.0508,-51.1667,-13.0000
2500.0000,2.0000,500.2000,2.0000,676.0000,7.0000,0.0000,0.7420,0.1837,0.2773,0.5820,0.9415,0.2578,0.0587,-50.3333,-13.8333
2562.5000,2.0000,562.7000,2.0000,738.0000,8.0000,0.0000,0.7405,0.1837,0.2813,0.5820,0.9298,0.2618,0.0663,-50.6667,-14.6667
2625.0000,2.0000,625.2000,2.0000,801.0000,9.0000,0.0000,0.7405,0.1837,0.2813,0.5820,0.9377,0.2735,0.0468,-50.8333,-14.1667
2687.5000,2.0000,687.7000,2.0000,863.0000,10.0000,0.0000,0.7405,0.1837,0.2813,0.5820,0.9298,0.2852,0.0703,-51.1667,-13.8333
2750.0000,2.0000,750.2000,2.0000,925.0000,11.0000,0.0000,0.7405,0.1837,0.2813,0.5820,0.9455,0.2735,0.0663,-50.3333,-13.5000
2812.5000,2.0000,812.7000,2.0000,987.0000,12.0000,0.0000,0.7405,0.1837,0.2813,0.5820,0.9377,0.2735,0.0587,-50.5000,-14.3333
2875.0000,2.0000,875.2000,3.0000,50.0000,13.0000,0.0000,0.7405,0.1837,0.2813,0.5820,0.9377,0.2735,0.0547,-49.8333,-14.0000
2937.5000,2.0000,937.7000,3.0000,112.0000,14.0000,0.0000,0.7420,0.1837,0.2773,0.5820,0.9377,0.2657,0.0547,-49.0000,-13.6667
3000.0000,3.0000,0.2000,3.0000,175.0000,15.0000,0.0000,0.7420,0.1837,0.2773,0.5820,0.9298,0.2618,0.0508,-49.5000,-13.3333
3062.5000,3.0000,62.7000,3.0000,237.0000,0.0000,0.0000,0.7420,0.1837,0.2773,0.5820,0.9337,0.2695,0.0625,-49.8333,-14.1667
3125.0000,3.0000,125.2000,3.0000,300.0000,1.0000,0.0000,0.7420,0.1837,0.2773,0.5820,0.9337,0.2695,0.0430,-50.1667,-13.8333
3187.5000,3.0000,187.7000,3.0000,362.0000,2.0000,0.0000,0.7420,0.1837,0.2773,0.5820,0.9455,0.2773,0.0547,-49.5000,-14.5000
3250.0000,3.0000,250.2000,3.0000,425.0000,3.0000,0.0000,0.7405,0.1837,0.2813,0.5820,0.9337,0.2735,0.0587,-48.8333,-14.1667
3312.5000,3.0000,312.7000,3.0000,487.0000,4.0000,0.0000,0.7420,0.1837,0.2773,0.5820,0.9455,0.2578,0.0587,-48.1667,-13.8333
3375.0000,3.0000,375.3000,3.0000,549.0000,5.0000,0.0000,0.7420,0.1837,0.2773,0.5820,0.9377,0.2618,0.0468,-48.6667,-13.5000
3437.5000,3.0000,437.8000,3.0000,612.0000,6.0000,0.0000,0.7405,0.1837,0.2813,0.5820,0.9415,0.2813,0.0430,-48.1667,-13.1667
3500.0000,3.0000,500.3000,3.0000,674.0000,7.0000,0.0000,0.7420,0.1837,0.2773,0.5820,0.9377,0.2540,0.0663,-47.5000,-13.0000
3562.5000,3.0000,562.8000,3.0000,736.0000,8.0000,0.0000,0.7420,0.1837,0.2773,0.5820,0.9377,0.2773,0.0547,-48.1667,-12.6667
3625.0000,3.0000,625.3000,3.0000,799.0000,9.0000,0.0000,0.7420,0.1837,0.2773,0.5820,0.9377,0.2735,0.0468,-47.5000,-12.5000
3687.5000,3.0000,687.8000,3.0000,861.0000,10.0000,0.0000,0.7420,0.1837,0.2773,0.5820,0.9532,0.2695,0.0625,-48.1667,-13.3333
3750.0000,3.0000,750.3000,3.0000,924.0000,11.0000,0.0000,0.7405,0.1837,0.2813,0.5820,0.9415,0.2695,0.0625,-48.6667,-13.1667
